dataset name,link,Public Or Protected,Data Name,Owner,Sensor Platform,Operation Mode,Band,Polarization,Single Or Multilook,Data Domain,Cover Area,Scene,Image Acquisition Time,Azimuth Pixel Size,Slant Range Pixel Size,Ground Range Pixel Size,Cover Area Latlng,Data Time Original (UTC)
OpenSARUrban01,http://opensar.sjtu.edu.cn/Data/DataShow/175,Public,OpenSARUrban01,zhaojuan,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,---,CN,Landcover,2019/11/17 21:48:40,10 m,,10 m,,"Sun, 17 Nov 2019 21:48:40 GMT"
sarship1,http://opensar.sjtu.edu.cn/Data/DataShow/157,Public,sarship1,zengyulong,Sentinel-1A/1B,TOPSAR,C,HH-HV,Multilook,amplitude,SO,maritime targets,2019/4/13 10:00:21,10m,,10m,,"Sat, 13 Apr 2019 10:00:21 GMT"
SARSHIPDetectionAnnotation,http://opensar.sjtu.edu.cn/Data/DataShow/155,Public,SARSHIPDetectionAnnotation,chy940403,Sentinel-1A/1B,TOPSAR,C,VV-VH,Multilook,amplitude,"CN,ZheJiang",maritime targets,2015/7/8 9:54:30,10m,,10m,,"Wed, 08 Jul 2015 09:54:30 GMT"
Sentinel-ship46,http://opensar.sjtu.edu.cn/Data/DataShow/154,Public,Sentinel-ship46,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV,Singlelook,complex,FI,maritime targets,2015/2/17 20:42:17,13.95m,2.3m,-,,"Tue, 17 Feb 2015 20:42:17 GMT"
Sentinel-ship45,http://opensar.sjtu.edu.cn/Data/DataShow/153,Public,Sentinel-ship45,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV,Singlelook,complex,---,maritime targets,2015/2/5 20:42:39,13.95m,2.3m,-,,"Thu, 05 Feb 2015 20:42:39 GMT"
Sentinel-ship44,http://opensar.sjtu.edu.cn/Data/DataShow/152,Public,Sentinel-ship44,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV,Singlelook,complex,---,maritime targets,2014/12/19 20:43:00,13.95m,2.3m,-,,"Fri, 19 Dec 2014 20:43:00 GMT"
Sentinel-ship43,http://opensar.sjtu.edu.cn/Data/DataShow/151,Public,Sentinel-ship43,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,FI,maritime targets,2016/7/12 22:12:03,13.95m,2.3m,-,,"Tue, 12 Jul 2016 22:12:03 GMT"
Sentinel-ship42,http://opensar.sjtu.edu.cn/Data/DataShow/150,Public,Sentinel-ship42,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,GL,maritime targets,2016/7/3 22:47:57,13.95m,2.3m,-,,"Sun, 03 Jul 2016 22:47:57 GMT"
Sentinel-ship41,http://opensar.sjtu.edu.cn/Data/DataShow/149,Public,Sentinel-ship41,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,FI,maritime targets,2016/6/30 22:12:33,13.95m,2.3m,-,,"Thu, 30 Jun 2016 22:12:33 GMT"
Sentinel-ship40,http://opensar.sjtu.edu.cn/Data/DataShow/148,Public,Sentinel-ship40,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,---,maritime targets,2016/6/8 9:54:29,13.95m,2.3m,-,,"Wed, 08 Jun 2016 09:54:29 GMT"
Sentinel-ship39,http://opensar.sjtu.edu.cn/Data/DataShow/147,Public,Sentinel-ship39,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,FI,maritime targets,2016/6/6 22:12:38,13.95m,2.3m,-,,"Mon, 06 Jun 2016 22:12:38 GMT"
Sentinel-ship38,http://opensar.sjtu.edu.cn/Data/DataShow/146,Public,Sentinel-ship38,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,FI,maritime targets,2016/3/28 9:54:37,13.95m,2.3m,-,,"Mon, 28 Mar 2016 09:54:37 GMT"
Sentinel-ship37,http://opensar.sjtu.edu.cn/Data/DataShow/145,Public,Sentinel-ship37,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,FI,maritime targets,2016/2/9 9:54:12,13.95m,2.3m,-,,"Tue, 09 Feb 2016 09:54:12 GMT"
Sentinel-ship36,http://opensar.sjtu.edu.cn/Data/DataShow/144,Public,Sentinel-ship36,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,SE,maritime targets,2015/9/26 10:25:00,13.95m,2.3m,-,,"Sat, 26 Sep 2015 10:25:00 GMT"
Sentinel-ship35,http://opensar.sjtu.edu.cn/Data/DataShow/143,Public,Sentinel-ship35,zengyulong,Sentinel-1A/1B,TOPSAR,---,VV-VH,Singlelook,complex,FI,maritime targets,2015/8/25 9:54:45,13.95m,2.3m,-,,"Tue, 25 Aug 2015 09:54:45 GMT"
Sentinel-ship34,http://opensar.sjtu.edu.cn/Data/DataShow/142,Public,Sentinel-ship34,zengyulong,Sentinel-1A/1B,TOPSAR,C,VV-VH,Singlelook,complex,FI,maritime targets,2015/7/8 8:54:48,13.95m,2.3m,-,,"Wed, 08 Jul 2015 08:54:48 GMT"
Sentinel-ship33,http://opensar.sjtu.edu.cn/Data/DataShow/141,Public,Sentinel-ship33,zengyulong,Sentinel-1A/1B,TOPSAR,---,VV-VH,Singlelook,complex,SE,maritime targets,2015/4/3 11:25:29,13.95m,2.3m,-,,"Fri, 03 Apr 2015 11:25:29 GMT"
Sentinel-ship32,http://opensar.sjtu.edu.cn/Data/DataShow/140,Public,Sentinel-ship32,zengyulong,Sentinel-1A/1B,TOPSAR,C,HH-HV,Singlelook,complex,SO,maritime targets,2014/11/7 17:49:36,13.95m,2.3m,-,,"Fri, 07 Nov 2014 17:49:36 GMT"
Sentinel-ship31,http://opensar.sjtu.edu.cn/Data/DataShow/139,Public,Sentinel-ship31,zengyulong,Sentinel-1A/1B,TOPSAR,---,HH-HV,Singlelook,complex,SO,maritime targets,2015/11/2 17:41:20,13.95m,2.3m,-,,"Mon, 02 Nov 2015 17:41:20 GMT"
